# WordCount Map-Reduce con threads
# Archivo: C:\Users\Cris\Desktop\Proyectos\big data\New folder\archivo_20gb.txt
# Threads: 16
# Inicio:  2025-08-20 13:19:32
# Fin:     2025-08-20 13:46:51
# Duración (s): 1639.64(27min)
# Total de palabras: 2947974936
# Palabras distintas: 3276
# ---- palabra	conteo ----
Santiago	537090
total	1876830
p	1893396
atrás	1875423
he.	544151
Recursos	536726
negro	1877871
tú	1889154
española	1862811
alguien.	537150
Consejo	538318
estructura	1853668
un	1889342
siete	1880277
toma	1880346
pesetas.	537975
Asimismo	537308
francia	1869397
manera.	539155
Club	541168
explicó	1866258
pesar	1875564
cara	1879630
fueron	1872290
jefe.	542315
Fútbol	539344
acción	1875199
ministro	1863130
puerto.	538946
Tienen	538421
hacia	1875130
ejemplo.	538138
Segundo	537490
respecto	1863698
uno	1884372
operación	1859706
decir	1876429
cuba.	541400
Lejos	539327
capacidad	1858628
vía	1883699
hizo	1878800
fuerza.	538924
Dar	543038
derechos	1865384
mucho	1875807
próximo	1866191
consejo	1867548
efecto.	538719
cuatro	1871142
esa	1885012
pequeño	1865769
trabajadores.	532499
Último	540159
dio	1887888
especialmente	1843489
profesional	1853257
político	1861874
español.	537506
Estados	538908
junio	1877605
felipe	1869145
social	1873616
iba	1888256
ya.	544207
Era	543731
necesidad	1860066
seis.	540622
Ambiente	536649
asociación	1854215
has	1885383
habrá.	539061
Vino	542173
existe	1870609
m	1892781
distintas	1858191
septiembre	1855998
río	1883741
principal.	535740
Otra	542396
gracias	1868087
mantener	1865178
tenido	1872584
están.	540749
Hoy	543081
tratamiento	1852165
diversos	1866095
debía	1876881
real.	540995
Llevar	539038
poner	1878048
voy	1883962
mis	1884908
solamente	1857673
muerte.	538903
Mucho	541726
plazo	1875780
problemas	1860247
dicho	1876272
e	1892626
diez.	540962
Respuesta	535462
tenemos	1868262
técnica	1868729
padre	1875714
experiencia	1849428
desarrollo	1855313
Se	544303
niños	1877047
que	1887192
cultural	1863450
principales	1850109
presente.	535654
Al	544320
aire	1881062
programas	1858948
cinco.	540457
Varias	537113
posición	1863443
título	1872195
sido	1881150
europa	1873016
mal.	542633
Secretario	534190
permite	1869040
importantes	1850230
encuentro	1860174
tales.	538894
José	542085
importante	1854414
muestra	1868879
precisamente.	532138
Movimiento	534157
ocho	1879038
conciencia	1853914
rodríguez.	534035
Negro	540607
viaje	1875893
todas	1877649
cabeza	1872932
resultado.	535918
Qué	542268
presidente	1853573
embargo	1870510
materia.	538097
Tiene	539993
común	1876313
lucha	1876925
plaza	1876895
pequeña	1866173
libre.	541418
Puerta	537977
duda	1880136
pone	1878079
grandes	1867688
juez	1880161
final.	539698
Cantidad	536194
entrada	1867837
nuestra	1866708
santa.	540576
Tu	543431
pacientes	1860048
igual	1880221
padres.	536679
Momentos	536958
etc	1884969
mayo.	542737
objetivo	1862924
ambiente	1864897
ley	1885011
revolución	1856604
rey.	541846
Partidos	534832
pedro	1877882
después.	537604
Capaz	540529
eran	1880769
socialista	1855806
cuerpo.	539007
Del	542666
don	1885701
llegó.	539838
Capacidad	534547
afirmó	1870764
mes	1885526
internacional	1841876
conocimiento.	530720
Lugar	539472
fuera	1876950
elementos	1859986
relaciones.	534553
Temas	541325
o	1892431
crisis	1871867
cual.	541286
Españoles	535339
quedó	1875283
origen	1871994
económico	1858640
militar.	538486
Según	541132
energía	1866861
nosotros	1862326
podemos	1869997
deseo.	539487
Francia	539529
mucha	1877809
llama	1875216
pueblo	1871943
niño	1881759
más	1882566
Mediante	538082
Corte	539424
fuego	1876284
ve	1887376
política.	538611
prueba	1872949
edad	1881236
hora	1880627
día	1884535
empresas	1863146
esta.	541378
Políticos	535035
menor	1874752
puerta	1875205
esas	1881006
Juego	539181
Comisión	535924
poder	1876893
paciente	1862409
les	1888532
forma.	540228
Este	541254
juego	1876355
dijo	1880317
plaza.	540057
capital	1867930
conjunto.	536903
Aun	543555
peor	1880702
hasta.	540056
Estar	540715
madrid	1870650
josé	1881779
calidad.	538580
Las	542250
larga	1877033
aumento	1867169
blanco.	540401
Región	540085
papel	1877158
términos	1865583
tres	1881504
civil	1873549
sangre.	539403
Otros	540324
causa	1877105
vamos.	540409
Quizá	540660
texto	1876411
pasado	1872693
apenas	1872371
unas	1881854
cultura.	536623
Dentro	537421
mientras	1865191
contenido	1858433
jamás	1876684
antonio	1867856
pueden	1873199
francisco	1858353
último.	539111
Libro	540171
tal	1884911
aquellas	1864335
juan.	540305
Algunas	537488
favor	1877007
información	1851266
final	1878220
más.	542703
Primero	538853
tarde	1874969
caso	1880375
médico	1870160
últimos	1867217
suficiente	1856355
Te	544799
segundo	1870229
etapa	1876305
principios.	533951
Conjunto	536323
adelante	1865177
casi	1877982
nuevo.	539156
Existe	539295
mayo	1878584
general	1868234
encima	1870145
pueda.	540289
Encuentran	533773
si.	544475
real	1881091
corazón.	539039
Muerto	540245
resultado	1860043
hubiera	1867303
tipo	1880449
formas.	539049
Gobierno	536436
le	1887614
lugar	1874244
sur	1885403
sabía.	541998
arriba	1872466
perdido	1869183
miembros	1862956
Proyectos	536905
Violencia	535241
entre	1878017
Ministerio	535056
llegar	1870561
allí.	541429
Tengo	540093
radio	1874563
europea.	538919
Dado	541494
temas	1876972
unión	1877522
francia.	538482
Recuerdo	537138
blanca	1870657
seguridad	1857672
veces	1876636
población	1858920
calle	1877603
público.	537761
Tres	541956
espera	1872663
razón	1876097
hija	1881999
sector	1870897
ocasión.	536745
Mantener	536713
animales	1862438
estoy	1877083
mano	1879192
creo	1880625
septiembre.	533867
palabra	1871466
tienen	1874192
acto	1881957
vamos	1876175
falta.	539637
objeto	1873659
económica	1861772
estuvo	1872576
mar	1886507
única.	540360
Debe	543065
ha	1888397
quería.	539002
Le	544643
aspecto	1867136
san	1885725
calidad	1867954
cambios.	538175
Tenemos	537065
campaña	1865819
demasiado	1858232
comenzó	1868253
nacional	1863254
d.	544261
He	545038
director	1863509
ellas.	541209
Primeras	536429
hacía	1877290
natural	1868082
noche	1876559
doctor	1872670
pregunta.	536184
Don	542762
todos	1876288
fondo	1876468
medios	1871804
artículo	1864252
humana.	538733
pasar.	540237
Señor	541161
tanto	1875970
todavía.	538204
Reforma	537622
fuerzas	1865655
materia	1870117
en	1890330
estilo	1873714
Blanco	538976
busca	1873181
conseguir	1857870
Hora	540385
espacio	1867535
domingo	1865945
libertad.	536121
Mañana	539190
hospital	1863436
y	1894904
guerra.	537194
Crecimiento	533279
problema	1862005
dentro	1874485
sean	1881338
aunque	1869856
ambos	1874423
plan.	540677
Viene	539953
club	1883750
allá.	542321
Través	538999
también	1868744
costa	1878370
propia	1873326
posible	1869579
baja.	540909
pie	1883509
rafael	1872152
rodríguez	1859846
especie.	536505
Diferencia	533751
comunidad	1859117
premio	1873416
solución	1864320
riesgo	1872934
aunque.	539115
aquellos	1868987
nunca	1875432
américa	1867601
resultados.	532654
Mal	543187
otra	1882835
partes.	538662
Voy	542205
hermano	1868120
guerra	1871284
sería	1874665
llevar	1873350
cierto.	538624
Régimen	538017
algunos	1867214
han	1883920
obras	1876392
estudio.	537631
Muchos	538427
acuerdo	1868348
algunas	1868746
programa	1864382
actividades.	532617
Mejor	541488
donde	1879142
especial	1864176
alto.	541009
Seguridad	536227
fútbol.	539295
Encontrar	535413
unidad	1873003
sino	1878879
propio	1870929
g.	545907
Sectores	535216
primera	1867988
vio	1884498
mejores	1868249
dicen	1877211
tú.	544397
Compañía	538784
silencio	1861619
pasa	1880996
dice	1880353
allí	1880456
operación.	535212
Tierra	538902
deben	1875188
llama.	539726
Economía	536868
servicios	1858570
mundo	1879020
palabra.	538312
Estoy	540066
i	1894360
siglo	1875453
favor.	540736
Acción	538119
pp	1889198
televisión	1853982
muchas.	539853
Sangre	538133
sociedad	1861228
posibilidades	1843194
período.	537922
Asunto	539459
políticas	1860844
partir	1872704
esos	1880758
abril.	539716
Decía	540674
opinión	1870282
dinero	1872636
producción	1854521
recuerdo	1865089
justicia	1864264
acuerdo.	537264
Posibilidad	533387
juez.	541562
Educación	536819
entonces	1862715
alguna	1870780
nuestras.	535798
Cuatro	538281
trabajadores	1847381
nada.	540387
Haciendo	537191
solamente.	535237
Fondo	540487
muy	1883019
hacerlo.	536864
Expresión	535042
mal	1886773
gran.	541038
militares	1857834
sociales	1862976
Plazo	539833
mes.	541623
Distintos	536319
económica.	535097
D	544335
español	1869601
equipo	1871704
democracia	1858364
modelo.	539903
buen.	540808
ejército	1863226
mesa	1879636
verdad	1873786
estudios	1863276
sin.	542926
Rey	542715
oficial.	536388
Nosotros	535324
cada	1881379
miguel	1872219
gonzález	1863407
Hecho	540375
siguiente	1858982
casos	1875531
media.	541308
Vuelve	538867
aspectos	1862046
Acerca	538680
mismos	1873101
otro	1878105
solo	1881183
importante.	534131
Está	540171
sistemas	1862851
dejar	1875230
apenas.	539261
Sólo	540611
cuales	1869713
niveles	1865533
movimiento.	533792
Estos	541456
llamado	1868003
vez	1885142
metros	1872431
largo.	540332
nivel	1875650
razones	1869843
socialista.	534729
Ha	544129
lado	1882161
hora.	542583
Estructura	534032
ii	1889247
política	1864994
países	1872739
rey	1884953
algunas.	539078
París	540723
sol	1884654
usted	1877035
hija.	542276
Julio	540036
sala	1881015
tres.	540354
Clase	540614
con	1883921
según	1876299
cómo	1882072
justicia.	537500
Veces	542070
señor	1875264
nuevas	1872608
industria.	535750
Pasó	540755
mitad	1875006
cine.	540990
Pablo	538758
luego	1878365
cuadro	1871180
aún	1885848
estados.	538316
Pueblo	538396
importantes.	533611
Crisis	538401
carne	1876375
pese	1881631
tuvo	1882485
libre	1876956
mucha.	541091
Grupos	540069
clase	1874651
comunicación	1844215
van	1885706
imagen.	540700
Hacia	541629
pasó	1881886
acciones	1863065
semana	1872864
N	545323
manos	1878639
línea	1875488
Finalmente	533814
puesto	1871605
santiago.	536023
figura	1872182
sociedad.	536646
Instituto	536738
presente	1865213
viejo	1878605
último	1873543
tratamiento.	533683
Rosa	542337
local	1873187
explicó.	538918
Costa	540181
propios	1868298
cultura	1868509
sectores	1866182
quiero.	539464
Participación	531298
cualquier	1859891
antes.	539756
Tanto	539953
son	1886449
salud	1875508
quizá	1878736
Grupo	539651
ex	1888550
son.	541965
Decisión	537649
ni	1888839
ahí	1885597
llegó	1876441
poco.	542728
Sabe	541189
comisión	1863595
oro	1885531
capaz.	540760
Ello	541650
plan	1882609
cuya.	540935
mujer	1877353
autoridades.	532513
Duda	541173
siendo	1874373
constitución	1847659
pasado.	538791
Buena	539431
libros	1874060
servicio	1863270
de	1890256
interior.	536842
considera	1860007
sabe.	541786
Zonas	540702
volver	1873064
julio	1876752
llegar.	538455
Tenían	538273
joven	1876848
sé	1890094
ii.	545011
No	543626
quienes	1867774
siquiera	1861851
línea.	541629
Naturaleza	534125
muerte	1872673
algún.	539896
Mes	542732
teatro	1874408
análisis	1866755
amigos	1871029
nombre.	539390
autoridades	1847976
algo.	541380
Pasado	539297
primer	1872020
razón.	540850
Ideas	540412
orden	1876504
pronto	1873674
mil	1884876
San	542930
lo	1889362
habría	1870972
esas.	541346
También	537515
puede	1875780
días	1883450
pronto.	540584
Efecto	538874
medida	1872973
g	1892833
ministerio.	534519
número	1870031
primeros	1863220
otros	1875951
parece.	540271
calle.	540389
Casi	541854
cuestión	1864313
Ese	543296
contra	1873357
cama	1879188
dan	1883736
juicio	1873018
nuevos	1875705
días.	539660
Medidas	538921
todavía	1867865
francisco.	536684
unidos	1870259
productos	1859817
Libertad	536997
del	1883220
jóvenes	1867366
entre.	539210
Fuentes	537865
este	1879731
dejó	1877421
consecuencia	1848681
carta	1878097
actual.	540380
Pregunta	536823
queda	1876861
hoy.	543311
Alto	540857
estamos	1868294
Contenido	535265
pensar.	539889
Exterior	536868
sigue	1874341
papel.	539946
buena	1875381
misma	1875330
fuerte.	538518
M	544779
historia	1863957
tiempo.	539453
Sur	542182
varios	1873304
habría.	539387
Aire	542128
mí	1892244
grupos	1873195
cerca.	539056
personal	1863283
tiempos.	537138
Propio	538286
seguir	1874518
tiempos	1869744
quien.	540489
Deseo	539717
ir	1890904
qué	1882602
Militar	537683
luz.	541869
Vista	539245
grupos.	538368
Camino	538475
hechos	1873983
hombre.	539435
obstante	1863081
alto	1879948
apoyo	1878575
punto.	539899
Contrario	535195
período	1867774
segunda.	538848
Pone	541849
medida.	538586
Energía	538487
falta	1878875
razones.	537558
Personas	538366
técnica.	537695
Viaje	539309
Actitud	536491
evitar	1870858
autor	1877315
momentos.	536049
Juez	540815
cierta	1869865
humana	1872045
estoy.	539418
De	542687
conocimiento	1847715
en.	544186
Miedo	541051
diez	1880790
ante.	541901
Claro	540710
imagen	1875384
podía	1877464
social.	539647
Hospital	536807
resultados	1854873
semanas.	536985
Servicio	536764
actual	1872836
Suerte	539057
va	1890098
Fácil	539868
palabras.	536371
Riesgo	539667
nadie	1877935
Constitución	530861
señaló.	540792
Grandes	538321
esfuerzo	1865047
Ya	543079
abril	1875906
norte.	541305
González	537694
situación	1860808
sobre	1874941
veces.	541551
P	546064
así	1885770
por	1883819
deben.	541586
Después	537848
ocasión	1866698
Quedó	541549
bajo	1881264
reforma	1869385
mi	1888653
Pues	540576
necesario	1858045
tan.	541621
Humanos	538018
haya	1881890
libro.	540659
Ocho	540833
puntos	1871695
supuesto	1862993
comercio	1863892
todas.	540665
Ejército	536123
puso.	542013
psoe	1881486
al	1888399
principio	1860707
ir.	543166
trabajar	1864717
R	546289
cuyo	1879940
Atrás	540341
efectos	1868843
carácter.	537305
Tiempos	537103
diversas	1864613
expresión.	535181
Entonces	537768
viene	1875453
mis.	542010
Es	543108
material	1865378
visita	1872501
comunicación.	532521
Baja	542142
podría	1873222
alguien	1868888
centros.	538531
costa.	539754
Quiere	538586
millones.	536778
López	540625
muerto	1871509
zona	1882797
aspecto.	537637
Verdad	539115
paz.	543602
Especialmente	530989
Torno	540097
antes	1875271
especie	1869810
Había	539131
estaba	1873652
éxito	1877891
hoy	1882466
máximo.	539918
acción.	540881
están	1876635
habían	1874115
humano	1870854
ambiente.	536523
principios	1856361
mano.	541777
sea	1885582
tengo	1877684
últimos.	536689
pone.	542885
Siempre	538353
único	1879898
persona	1867854
iglesia	1868459
acerca.	538345
Dicen	541504
distintas.	535956
Ser	543416
sistemas.	536746
Ojos	542186
esos.	542440
Miguel	538456
pablo.	539881
informe	1868832
sea.	542679
mayor	1874554
desde	1878091
derechos.	534576
Suelo	540840
grupo	1878369
conciencia.	534522
Necesario	536398
bastante	1864698
mirada	1873355
conocer	1870990
mañana.	538954
Presencia	536360
pensar	1871054
años	1880210
distintos.	535388
decisión	1863741
viejo.	540957
Aumento	538092
cámara	1873690
organización	1848206
chile.	540303
base	1880978
u	1892890
tuvo.	541178
Datos	542212
relación	1867648
hicieron	1862616
ayer	1879548
Revolución	533115
pedro.	541388
Forma	541102
buenos	1871629
propio.	539409
Felipe	539948
situación.	534798
Haber	540637
junto	1877474
poder.	539558
Tarde	540531
somos	1875714
proyecto	1865959
horas.	540195
Sigue	540022
obra	1880065
encontrar	1860849
anterior.	537258
Parte	541027
idea	1880359
santiago	1861821
podemos.	537838
fuego.	540282
Solución	535917
momento	1867364
bien	1878657
debido.	539702
Poco	541112
mañana	1874505
pablo	1873884
durante.	538225
Premio	538571
peor.	541158
Amor	542472
momentos	1862029
finalmente.	535795
Falta	540954
parecía	1868551
A	543801
españa	1872087
aumento.	536226
Me	544156
zonas	1877465
democracia.	534726
Valor	539643
aún.	542951
Cierto	540316
para	1880775
buscar.	539399
Electoral	536502
cámara.	539283
Formas	540247
Reunión	537612
secretario	1854965
que.	544070
sin	1884919
defensa	1869695
vía.	542743
Cuba	541614
dólares	1867232
gente.	540656
Encima	539492
tiempo	1870722
lenguaje	1863135
color.	541374
Gracias	537108
no	1888852
Muchas	539820
ocasiones.	534798
Sistemas	537659
padres	1875429
Hablar	538794
través	1870917
méxico	1871725
parte.	541572
Sido	541362
sangre	1871317
tenía	1877328
jorge	1877422
Juan	541009
partido	1868619
maría	1875680
Texto	540862
cultural.	536080
Parece	539873
arte	1881862
palabras	1864850
quiero	1869485
silencio.	537950
Pensar	537392
frente	1872648
militar	1867538
tiene.	540955
Ex	543893
carlos	1869718
hombre	1870204
economía.	535756
Única	539836
instituciones	1845657
deja	1882202
Hemos	541624
muchas	1873596
central.	538333
dolor	1879274
semanas	1868363
respecto.	536722
principal	1862093
dar	1884150
precios.	538475
Toma	542029
prueba.	538810
Color	539832
poco	1879567
seis	1880540
fernando	1863957
san.	544094
Trabajar	536203
media	1876828
m.	543754
Plan	542803
donde.	539779
principio.	533969
Persona	536982
reunión.	538116
Guerra	537957
es	1888144
humanos	1869521
ejemplo	1868638
imposible	1860316
encontrar.	535713
Minutos	537945
tampoco	1867729
carrera	1868927
punto	1877107
hombres.	538422
Sala	540940
interior	1863608
puedo.	539056
Allá	541009
contrario	1859652
está	1880634
garcía.	539506
E	544659
república	1858776
grado	1873206
información.	532368
Una	543115
serán.	541023
respuesta	1859763
población.	535772
sol.	542679
Internacional	531572
asimismo	1864674
precio	1873692
proyecto.	535541
Eso	541878
Mar	543278
Durante	537840
zonas.	539587
entrar	1873817
se	1890457
uso.	542238
Ayer	540764
pasó.	540451
Estas	540125
s	1892012
tenemos.	537995
dónde	1876503
cuarto.	539232
Peso	541227
camino	1870678
cambio	1871193
porque.	539538
Estamos	538784
datos	1874933
supuesto.	536387
nacional.	537428
Conseguir	534641
relaciones	1856791
estados	1867913
Conocer	537098
fuerza	1874741
Salud	541351
llamado.	538900
Nombre	539011
sus	1885604
dijo.	543174
oposición	1858825
ideas.	540178
Países	540006
buen	1881503
será	1883842
c	1893990
curso	1877429
difícil.	536017
Agua	541718
pero.	541158
vuelta	1873220
ayuda	1877745
domingo.	536844
persona.	536740
Esos	540892
bueno.	540332
Materia	537831
estaban	1865967
me	1888365
nuestra.	536901
Podría	538991
el.	543527
Pesar	539427
Análisis	536092
hablar	1871839
dar.	542924
Libre	540236
era	1885203
Así	543467
buscar	1871285
presenta	1865036
Abril	540947
cual	1880572
Francisco	535279
congreso.	537522
Favor	540777
parís	1875233
imágenes	1863843
debe	1881349
cierta.	539642
Iglesia	537509
aparece	1869142
puso	1883150
tenía.	539930
Respecto	536723
Común	540636
precisamente	1845011
Obra	542525
generales	1861254
primeras	1862835
eso.	542236
Demasiado	535714
tienen.	537872
Para	540628
hacia.	540571
Española	535968
investigación	1841492
Años	541372
fuerte	1875031
esto	1881090
Oficial	539539
casi.	542885
Contra	538853
capaz	1875139
tema.	542295
Número	537929
propuesta	1857588
pudo	1882204
Iba	542742
control	1867152
fuera.	540424
dentro.	538564
Concepto	537110
partidos	1861667
nuestro.	538602
Algunos	538274
ayer.	541856
fiscal	1871812
cerca	1877085
horas	1877201
recuerdo.	536943
Fin	542675
madre.	540829
hay	1886106
Muestra	537502
madre	1875101
lugar.	540384
habrá	1875937
vida	1880990
nuevas.	540098
Cama	541420
hacer	1878861
empresa	1869195
trabajo.	537889
Esas	541793
crecimiento.	533316
norte	1874049
casa	1878857
Primeros	536198
diferencia	1856622
tomar.	541299
Están	539222
lópez	1876953
cuales.	538561
Tribunal	536793
unos	1879412
ha.	544002
Encuentra	536430
tales	1875553
memoria.	538879
Centros	538131
fácil	1875948
sería.	540762
Si	543479
oposición.	537023
Paz	542454
somos.	539526
Señaló	539041
agua	1882358
dio.	542549
U	545432
existen	1867005
p.	544250
pasar	1874883
Alta	541559
demás	1874739
manera	1874179
buenos.	540250
Ejemplo	538413
relación.	536972
Madre	540503
vuelve.	539272
Deben	539931
Haya	541849
aquel.	539844
mirada.	537771
Junio	539611
sabe	1878396
Amigos	540607
mujer.	539873
Objeto	539730
te.	542734
Partes	538044
producto	1863028
unos.	540958
Bueno	540061
parece	1872639
sistema	1870496
dos	1883994
has.	541787
estaban.	537596
País	541733
libro	1877904
meses	1877582
conocer.	537141
Etapa	542329
habla	1876797
serán	1876359
Sea	543210
suerte	1871091
área	1879313
Europa	538013
del.	543776
Carta	538963
porque	1873895
mundial	1866598
marcha.	538094
Español	537382
ellas	1875879
ello	1880307
miguel.	539622
Perdido	537586
única	1875290
realizar	1865786
jorge.	540637
volvió	1871533
nuevos.	538825
consumo	1867712
corte.	542455
acerca	1872533
fondo.	539728
Ningún	538133
ésta	1879092
el	1888265
tiene	1878397
Donde	541100
radio.	539736
Entrada	537815
europea	1870676
cambios	1868321
evitar.	538516
Presenta	536644
tal.	542162
Fuerzas	537719
partidos.	535952
Teatro	539931
instituto	1861237
propia.	538425
Condiciones	531954
violencia	1861496
hacer.	540936
Conciencia	533913
cuba	1880671
sur.	542057
Primer	539738
hasta	1876870
habla.	539559
Somos	541075
formas	1871750
fernando.	536718
Miembros	536219
alta	1879342
título.	540286
Quienes	537433
unidad.	539052
Operación	535337
régimen	1865031
ellos.	540571
Cosa	541373
podrá	1875120
capital.	538050
suelo.	541640
García	538530
hombres	1866950
derecho	1869146
juan	1881144
dicho.	541183
Hay	543808
esta	1878725
pero	1881271
texto.	540938
Esto	540295
debe.	541043
Obras	539101
modo	1880327
ex.	544606
ideas	1876047
respuesta.	535134
Solamente	535465
demás.	540012
Cerca	540270
Mí	543393
medidas	1866550
Congreso	535516
misma.	541533
gobierno.	537798
Has	542015
asociación.	534993
Diversas	536901
durante	1868999
tierra	1872103
construcción	1847680
luego.	539960
escuela	1868227
argentina	1859926
términos.	535839
Llama	541139
popular	1867050
presenta.	536424
Silencio	536784
proceso	1866372
dado.	541747
Norte	540386
salida	1871955
Intereses	534038
puerto	1869475
hicieron.	536444
Acciones	537204
naturaleza	1856587
existe.	538380
mira	1879957
Sino	541140
Mismo	540917
esto.	542377
trata	1877599
ayuda.	540172
Pequeña	538773
cargo.	540245
Unión	540156
cuando	1871547
Pedro	541462
posibilidad	1850301
ésta.	541766
Presidente	535061
vino	1879934
enfermedad.	534152
Aunque	539794
marzo	1878827
público	1870064
sola	1880754
Distintas	535842
entrada.	536529
Existen	538102
yo	1890168
tipos	1875073
Derecho	538431
cuenta	1869346
siglo.	540588
Palabra	538968
siguientes.	535750
club.	540878
electoral	1858845
estructura.	534000
parte	1877175
visto	1875094
Que	542411
unión.	540708
entrar.	538090
hijo	1880452
tipo.	542028
elecciones.	535656
Razón	540184
La	543792
resto.	539660
Manos	540620
Superior	536511
barcelona	1861643
Tenido	539199
cuyo.	541575
Puntos	538698
estuvo.	538859
Tomar	539579
n	1892740
tenían	1872283
superior	1861885
Propia	539382
cosas	1874005
Capital	538368
juicio.	538789
Ocasión	535445
economía	1861196
junio.	539554
miembros.	535736
pues	1879690
iglesia.	537534
Ahora	540107
cambio.	537836
tener.	540100
Sol	542136
minutos.	537861
Acuerdo	537309
riesgo.	539476
miedo	1875055
etapa.	539030
Estaban	538509
Local	540048
boca	1881022
después	1870320
Saber	539396
banco	1876371
Esta	542787
época.	539713
primero	1869968
destino.	538006
Hubo	542273
Valores	537915
Pasa	542388
chile	1876405
julio.	539133
cuerpo	1870794
encuentro.	536204
Cultural	535951
cargo	1878949
sector.	539500
marzo.	540915
Precisamente	532018
cantidad	1864718
realidad	1862395
opinión.	538804
problema.	535140
lleva	1875951
fin	1884023
carlos.	538026
Quién	538645
resto	1874628
total.	538912
ojos	1879729
actividad	1860383
Hacerlo	538945
internacional.	530046
Madrid	538229
debía.	541008
Con	542977
orden.	539518
tener	1875567
llega.	539460
Han	542021
personas	1865235
los.	542647
serie.	540337
Dolor	540470
Habrá	540253
Busca	540927
si	1887536
millones	1864900
Nada	541107
paso	1879805
trata.	538954
mayor.	539896
ahora.	540299
ojos.	540592
Pequeño	538053
Serán	541037
estar	1877436
B	545418
diciembre	1861024
saber	1877904
televisión.	533825
tengo.	539813
Estado	536881
Dólares	537652
resulta	1868837
carrera.	537427
Deja	541261
señora	1873350
dos.	543344
Mercado	538763
proyectos	1859174
Poner	539613
nuestros	1863634
Obstante	535596
habían.	539027
Unidos	537323
Igual	539779
j	1894962
premio.	538319
paso.	542051
Programas	536306
Práctica	538158
hechos.	538468
Alrededor	536163
Idea	540329
da.	543435
octubre.	537816
violencia.	536480
